06027AA11400B;CRECHE LES 3 ARBRES;CRECHE FAMILIALE;6027;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16491383, 43.66856937]}"
06123AA018929A;CRECHE FAMILIALE LEI PITCHOUN;CRECHE FAMILIALE;6123;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.18862392, 43.67472856]}"
06032AA00600A;MULTI  ACCUEIL COLLECTIF ET FAMILIAL DU DR LYONS;CRECHE FAMILIALE;6032;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.39783415, 43.72190537]}"
06088AA05282I;TERRA AMATA;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28935594, 43.69952985]}"
06088AS0407139B;LES PETITS POUCETS;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26234078, 43.7171428]}"
06088AM0044230A;LES RAINETTES;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.23370714, 43.70505904]}"
06027AA005916A;HALTE GARDERIE LES ORANGERS;JARDIN D'ENFANTS;6027;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16735725, 43.65822519]}"
06088AV058330B;CRECHE DE L'HOPITAL PASTEUR;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28184503, 43.72445825]}"
06088AV052574A;HALTE-GARDERIE L'ATELIER DANS LA VILLE;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.29312462, 43.71526687]}"
06088AM004442A;HALTE-GARDERIE MARIE-CLOTILDE;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.2425001, 43.69640616]}"
06025AA005454B;CRECHE LE JARDIN DES ETOILES;CRECHE FAMILIALE;6025;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16764617, 43.80772521]}"
06065AA0050185BISA;CRECHE ESPACE CREATIF LE NID VERT;CRECHE FAMILIALE;6065;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16579829, 43.72237852]}"
06117AA00454648A;"CRECHE HALTE GALDERIE ""LA BARBOTEUSE""";CRECHE FAMILIALE;6117;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.22978477, 43.80638952]}"
06088AB049524C;BELLEVUE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.25770618, 43.71237252]}"
06088AC123231B;LA RITOURNELLE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.25933291, 43.70798246]}"
06088AM01578M;HALTE-GARDERIE LES YUCCAS;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.20386447, 43.67502171]}"
06088AS040788A;CRECHE SAINT LAMBERT;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26285285, 43.7136718]}"
06088AM09294A;ANTENNE LA PETITE RUCHE;SERVICE D'ACCUEIL FAMILIAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.29234952, 43.72329198]}"
06123AA005437A;CRECHE LES MOUSSAILLONS;CRECHE FAMILIALE;6123;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.18162282, 43.65936429]}"
06149AA01450A;CRECHE LA GALIPETTE;CRECHE FAMILIALE;6149;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.3194393, 43.73754332]}"
